,Facility Name,Address/Phone Number,,Services ,Age minimum,"Amenities (Golf, Swimming)",Occupancy rate,Certificate,Pricing,
,,,,,,,,,Daily Cost (Semi-Private Room),$190
520,Consulate Health Care of Brandon,"701 Victoria ST, Brandon, FL 33510(813) 681-4220",,skilled nursing,,,96%,medicare and medicaid,Daily Cost (Private Room),$205
,,,,,,,,,Daily Cost (Semi-Private Room),$195
521,Coral Bay Healthcare and Rehabilitation,"2939 South Haverhill Road, West Palm Beach, FL 33415(561) 641-3130",,"24 hr Onsite RN Coverage, HIV Care, Hospice Care, Pet Therapy, Respite, Tracheotomy, Weight Training",,,94%,medicare and medicaid,"Daily Cost (Private Room) 
$215
Daily Cost (Semi-Private Room) 
$195",
,,,,,,,,,,
522,Countryside Rehabilitation and Healthcare Center,"3825 Countryside Blvd N, Palm Harbor, FL 34684(727) 784-2848",,health care center,,,93%,medicare and medicaid,"Daily Cost (Private Room) 
$206
Daily Cost (Semi-Private Room) 
$195
",
,,,,,,,,,,
523,Courtenay Springs Village,"1100 South Courtenay Parkway, Merritt Island, FL 32952(321) 452-1233",,"assisted living, residential living, home care, respite care, memory care, skilled nursing",,,81%,medicare and medicaid,"Daily Cost (Private Room) 
$212
Daily Cost (Semi-Private Room) 
$198",
,,,,,,,,,,
524,Courtyard Gardens Rehabilitation Center LLC,"17781 Thelma Avenue, Jupiter, FL 33458(561) 746-2998",,"Clinical lab work
Dental health
Dietary services
Housekeeping services:
Mental health services
Nursing services
Occupational therapy
Additional activity services
Pharmacy services:
Physician extender services
Physical therapy",,,88%,medicare and medicaid,"Daily Cost (Private Room) 
$225
Daily Cost (Semi-Private Room) 
$200",
,,,,,,,,,,
525,"Crestview Rehabilitation Center, LLC","1849 First Avenue East, Crestview, FL 32539(850) 682-5322",,"Total Joint Replacement
Cardiac Disease
Degenerative Joint Disease
Arthritis (osteo & rheumatoid)
Back Strain or Pain
Fractures
Pain Syndromes
Spinal Stenosis, Orthopedic Surgery
Neurological Incidents
Cardio Thoracic Surgery",,"Simply C.H.A.T.S. Party.
Sweetheart Dance.
Easter Egg Hunt.
Volunteer’s Party.
Mother’s Day Tea.
Kid’s Art Walk.
National LTC Week Celebrations.
Summer Time:
Crestview “Music in the Courtyard” Series.
Father’s Day Fishing Tournament.
Sheridan & Eckert Wing Talent Shows.
Special Olympics.
July Fourth Parade.
Fall Time:
“Senior Day” at the Fairfield County Fair.
Fall Festival Hayride.
Pumpkin Walk.
Halloween Open House.
Faith Memorial Halloween Parade.
Olivedale Line Dancers & Kitchen Band.
Autumn Leaf Drive.
Fall Fishing Tournament.
Winter Time:
Christmas Parade.
Holiday Bazaar.
Holiday Lights Tour.
New Year’s Eve Party.
Slumber Party.
January Chili Cook-Off.
Presidents & Flag Day.
St. Patty’s Day Music & Party.
",68%,medicare and medicaid,"Daily Cost (Private Room) 
$160
Daily Cost (Semi-Private Room) 
$150",
,,,,,,,,,,
526,Crestwood Nursing Center,"501 S Palm Ave, Palatka, FL 32177(386) 328-1472",," Cardiac Disease
•  Pulmonary Disease
•  Post Orthopedic Care
•  Wound Care
•  Stroke Recovery, rehab, nursing care",,"Free Wi-Fi Internet
Beauty Salon / Barber Shop
Complimentary transportation to and from doctor appointments
Church Services
Personal Telephone
Outside Lounge / Courtyard
In-room Cable Television
Pet Visits
Hospital Grade Beds
Delicious Meals
Free Parking
Housekeeping and Laundry Service",88%,medicare and medicaid,"Daily Cost (Private Room) 
$171
Daily Cost (Semi-Private Room) 
$161
",
,,,,,,,,,,
527,Cross City Rehabilitation & Health Care Center,"583 NE 351 Hwy, Cross City, FL 32628(352) 498-2005",,rehab and health care,,,83%,medicare and medicaid,"Daily Cost (Private Room) 
$195",
,,,,,,,,,,
528,Cross Gardens Care Center,"190 NE 191St Street, Miami, FL 33161(305) 651-9690",,"Behavior Management
 Occupational Therapy
 Individual and Group Therapy
 Recreational Therapy
 Sensory Therapy
 Pet Therapy
 Spirituality Services
 Discharge Planning
 Physical Therapy
 Medication Management
 Speech Therapy
 Cognitive Therapy Program
 Art Therapy
 Music Therapy",,,67%,medicare and medicaid,"Daily Cost (Private Room) 
$200
Daily Cost (Semi-Private Room) 
$200",
,,,,,,,,,,
529,Darcy Hall of Life Care,"2170 Palm Beach Lakes Blvd, West Palm Beach, FL 33409(561) 683-3333",,rehab,,,69%,medicare and medicaid,"Daily Cost (Private Room) 
$220
Daily Cost (Semi-Private Room) 
$192",
,,,,,,,,,,
530,Daytona Beach Health and Rehabilitation Center,"1055 3Rd Street, Daytona Beach, FL 32117(386) 252-3686",,"long term care, rehab, dementia care, alzheimer care",,,96%,medicare and medicaid,"Daily Cost (Private Room) 
$190
Daily Cost (Semi-Private Room) 
$180",
,,,,,,,,,,
531,Desoto Health and Rehabilitation,"475 Nursing Home DR, Arcadia, FL 34266(863) 494-5766",,"long term care, rehab,",,,76%,medicare and medicaid,"Daily Cost (Private Room) 
$240
Daily Cost (Semi-Private Room) 
$220",
,,,,,,,,,,
532,Destin Healthcare and Rehabilitation Center,"195 Mattie M Kelly Blvd, Destin, FL 32550(850) 654-4588",,"RehabiliationhospicesRespiteDementia Care, long term care",,,96%,medicare and medicaid,"Daily Cost (Private Room) 
$193
Daily Cost (Semi-Private Room) 
$167",
,,,,,,,,,,
533,Doctors Lake of Orange Park,"833 Kingsley Ave, Orange Park, FL 32073(904) 269-2610",,,,,92%,medicare and medicaid,"Daily Cost (Private Room) 
$195
Daily Cost (Semi-Private Room) 
$175",
,,,,,,,,,,
534,Egret Cove Center,"550 62Nd ST S, Saint Petersburg, FL 33707(727) 347-6151",,"Post-Acute Services
Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care, oint Replacements
Strokes
Cardiac Occurrence
Surgical procedures
Injuries
Orthopedic fractures / surgeries
Intravenous medications and fluids
Total Parenteral Nutrition (TPN)
Tracheostomies
Infections including HIV, MRSA and VRE
Feeding tubes including G-tubes, NG tubes, Dobhoffs
Wound care including wound vacs
Pain management
Respiratory treatments including C-PAP and Bi-PAP
Colostomies, ileostomies, urostomies",,,88%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
$194",
,,,,,,,,,,
535,Florida Baptist Retirement Center,"1006 33Rd ST, Vero Beach, FL 32960(561) 567-5248",,"skillednursing , assisted, independent, congretgate living",,,96%,medicare and medicaid,,
,,,,,,,,,,
536,Florida Living Nursing Center,"3355 E Semoran Blvd, Apopka, FL 32703(407) 862-6263",,"Full-Range Rehabilitation Services
Post-Operative Care
Pain Management
IV Therapy
Respitory Care
Restorative Nursing Care
Respite Care
Hospice Care
Paliative Care
Lab Services
Medicare and Medicaid Certified
Wound Care Management
Hydration Program
Fall Intervention Program
Social Services
Beauty and Barber Services
Daily Housekeeping Services
Personal Laundry & Linen Services",,"ireless High Speed internet for residents, families, and guests
Computer workstation with printer
Nintendo Wii
Flat screen TV with pillow speaker for each resident
Personal phone with direct dial number for each resident",95%,medicare and medicaid,"Daily Cost (Private Room) 
$205
Daily Cost (Semi-Private Room) 
$195",
,,,,,,,,,,
537,Gainesville Health Care Center,"1311 SW 16Th Street, Gainesville, FL 32608(352) 376-8821",,"rehab, memory care, woiund care, pallaitve care, hospice care",,,95%,medicare and medicaid,"Daily Cost (Private Room) 
$225
Daily Cost (Semi-Private Room) 
$215",
,,,,,,,,,,
538,Golden Glades Nursing and Rehabilitation Center,"220 Sierra Drive, Miami, FL 33179(305) 653-8427",,"HMO and Insurance
Hospice Care/Palliative Care
Respite Care
CPAP and BIPAP
Ventilator Care
Physical Therapy
Occupational Therapy
Speech Therapy
In-house & Out-Patient Dialysis
GT Tube Feedings
TPN
Rehabilitation Therapy
IV Therapy via Central Line
PICC or Peripheral Lines
Wound Care
Ostomy Care
Tracheostomy Care
State of Florida Medicaid Provider",,,17%,medicare and medicaid,"Daily Cost (Private Room) 
$230
Daily Cost (Semi-Private Room) 
$200",
,,,,,,,,,,
539,Good Samaritan Center,"10676 Marvin Jones Blvd, Live Oak, FL 32060(386) 658-5550",,"
Cancer Services
The Cardiac and Vascular Institute
Comprehensive Breast Center
Digestive Disease Institute
Emergency Services
General Health
Inpatient Services
Imaging Services
The Joint & Spine Institute
Luxury Patient Suites
Maternity Services
Neurosciences
Orthopedic Services
Outpatient Services
The Palms Medical Detox
Stroke Care
Rehabilitation Services
Robotic Surgery
Sleep Disorder Center
Weight Loss Surgery
Women's Health",,,,medicare and medicaid,,
,,,,,,,,,,
540,Habana Health Care Center,"2916 Habana Way, Tampa, FL 33614(813) 876-5141",,"24 hr Onsite RN Coverage, Alzheimer's, Dialysis, HIV Care, Hospice Care, Respite, Tracheotomy",,,87%,medicare and medicaid,"Daily Cost (Private Room) 
$210
Daily Cost (Semi-Private Room) 
$190
",
,,,,,,,,,,
541,Harbor Beach Nursing and Rehabilitation Center,"1615 Miami Road, Fort Lauderdale, FL 33316(954) 523-5673",,"HIV Care, Hospice Care, Respite",,,88%,medicare and medicaid,"Daily Cost (Private Room) 
$202
Daily Cost (Semi-Private Room) 
$171",
,,,,,,,,,,
542,Harborchase of Naples,"7801 Airport Pulling Road N, Naples, FL 34109(239) 566-8077",,"assisted living, memory care, skilled nursing",," family-centered cookouts, birthday celebrations and visiting performers’ events. Frequent outings to cultural centers, historic locations, shopping and dining, painting, craft,movies, gardening",98%,medicare and medicaid,"Daily Cost (Private Room) 
$285
Daily Cost (Semi-Private Room) 
$260",
,,,,,,,,,,
543,Healthcare and Rehabilitation of Sanford,"950 Mellonville Ave, Sanford, FL 32771(407) 322-8566",,"Post-Acute Services
Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care, Joint Replacements
Strokes
Cardiac Occurrence
Surgical procedures
Injuries
Orthopedic fractures / surgeries
Intravenous medications and fluids
Total Parenteral Nutrition (TPN)
Tracheostomies
Infections including HIV, MRSA and VRE
Feeding tubes including G-tubes, NG tubes, Dobhoffs
Wound care including wound vacs
Pain management
Respiratory treatments including C-PAP and Bi-PAP
Colostomies, ileostomies, urostomies",,,96%,medicare and medicaid,"Daily Cost (Private Room) 
$188
Daily Cost (Semi-Private Room) 
$176
",
,,,,,,,,,,
544,Heritage Park Care and Rehabilitation Center,"2302 59Th ST W, Bradenton, FL 34209(941) 792-848",,skilled nursing,,,81%,medicare and medicaid,"Daily Cost (Private Room) 
$190
Daily Cost (Semi-Private Room) 
$170",
,,,,,,,,,,
545,Heron Pointe Health and Rehabilitation,"1445 Howell Ave, Brooksville, FL 34601(352) 799-1451",,"Activities Services 
Administration And Storage Of Blood Services Clinical Laboratory Services 
Clinical Laboratory Services r
Diagnostic Xray Services 
Diagnostic Xray Services 
Dietary Services 
Dietary Services
Housekeeping Services 
Mental Health Services
Mental Health Services 
Nursing Services 
Occupational Therapy 
Pharmacy Services
Physical Therapy Services 
Physician Extender Services
Physician Services 
Physician Services 
Podiatry Services
Social Work Services 
Speech/Language Pathology
Vocational Services Are Provided ",,,96%,medicare and medicaid,"Daily Cost (Private Room) 
$240
Daily Cost (Semi-Private Room) 
$230",
,,,,,,,,,,
546,Highland Pines Rehabilitation Center,"1111 S Highland Ave, Clearwater, FL 33756(727) 446-0581",,"Cardiac rehabilitation
Orthopedic rehabilitation
Post-cerebrovascular accident (Stroke)
Respiratory/Pulmonary rehabilitation
Neurological rehabilitation
Amputation care
Hip/Knee fractures and replacements
General debility/Weakness
Short and long term rehabilitation",,"exercise programs, religious services, social and recreational activities, arts and crafts and trips outside of the facility.",73%,medicare and medicaid,"Daily Cost (Private Room) 
$233
Daily Cost (Semi-Private Room) 
$211",
,,,,,,,,,,
547,Hunters Creek Nursing and Rehabilitation Center,"14155 Town Loop Blvd, Orlando, FL 32837(407) 541-2600",,"long term care, Orthopedic Rehabilitation
Stroke Rehabilitation
Post-Surgical Rehabilitation
Neuromuscular Diseases such as Parkinson’s Disease
Arthritis
Pain Management
Wound Healing
Fall Prevention
Difficulty Swallowing and Eating
Trouble Communicating
Incontinence
Decline in Day-to-Day Functioning, hysician Oversight
Seven-Day-a-Week Physical, Occupational and Speech Therapies
Pharmaceutical and Medical Supply Assistance
Expert Dietary and Nutrition Services
Medical-Based Financial Advice and Assistance",,"n-House Beautician Services
Social Services
A Therapeutic Activities Program
Psychosocial Care
Laundry Services",97%,medicare and medicaid,"Daily Cost (Private Room) 
$234
Daily Cost (Semi-Private Room) 
$218",
,,,,,,,,,,
548,Huntington Place,"1775 Huntington Lane, Rockledge, FL 32955(321) 632-7341",,Assisted LivingIndependent LivingMemory CareRehabilitationRespite/Short-Term Stays,,,97%,medicare and medicaid,,
,,,,,,,,,,
549,Indian River Center,"7201 Greenboro DR, West Melbourne, FL 32904(321) 727-0990",,"24 Hour Nursing Care
Occupational, Speech, and Physical Therapy
Partner Program
CaringWay

Dietitians for Nutritional Oversight
Customer Ambassador Program",,"Phones in Room, Family Council
Customer Council
Cable TV
Electric Beds
Beauty/Barber Shop
Personal Laundry
Banking
Internet Cafe
Daily Activities",92%,medicare and medicaid,"Daily Cost (Private Room) 
$195
Daily Cost (Semi-Private Room) 
$195
",
,,,,,,,,,,
550,Island Health and Rehabilitation Center,"125 Alma Blvd, Merritt Island, FL 32953(321) 453-0202",,"Short-Term Care 
Traditional/Long-Term Care 
Post-Operative Care 
Respiratory Services 
Infusion Therapies  
Comprehensive Wound Care Therapies 
Palliative Care Services 
Renal Disease Services 
Cancer Recovery Services 
Digestive Disease Support",,"Dentist  
 Salon/Spa Services
 Religious Services
WiFi Accessibility    
In-Room Free Cable Service
Outdoor Courtyard
Outdoor Patio",99%,medicare and medicaid,"Daily Cost (Private Room) 
$190
Daily Cost (Semi-Private Room) 
$180
",
,,,,,,,,,,
551,Jackson Memorial Perdue Medical Center,"19590 Old Cutler Road, Cutler Bay, FL 33157(786) 466-3500",,"IV Therapy
Wound Care
Palliative Care
Brain Trauma Aftercare
Pain Management
Psychiatry
Ophthalmology
Dialysis Services
Podiatry, Occupational
Physical
Speech
Music
Recreational
Pet Therapy",,,88%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
$250",
,,,,,,,,,,
552,Kenilworth Care & Rehabilitation Center,"3011 Kenilworth Blvd, Sebring, FL 33870(863) 382-2153",,rehab,,,94%,medicare and medicaid,"Daily Cost (Private Room) 
$200
Daily Cost (Semi-Private Room) 
$190",
,,,,,,,,,,
553,Lady Lake Specialty Care Center,"630 Griffin Avenue, Lady Lake, FL 32159(352) 750-6619",,"Physical, occupational and speech therapyIV therapy, TPN and tracheotomy careGolf cart driving rehabWound care programPain management programFall prevention programDementia care programRN/LPN services available 24 hours a day, 365 days a yearRegistered dietitian servicesDental services and eye care, ",,Recreational activities 7 days a weekSpa amenities availableRespite careHospice and end-of-life carePutting greensGourmet Bistro dining,97%,medicare and medicaid,"Daily Cost (Private Room) 
$185
Daily Cost (Semi-Private Room) 
$175",
,,,,,,,,,,
554,Lake Bennett Health and Rehabilitation Center,"1091 Kelton Ave, Ocoee, FL 34761(407) 523-0300",,"Wound Care
Bariatric Care
Cardiac Patients
Dialysis Patients
Jackson-Pratt (JP) Drains
Pleurx Catheters
BiPAP Machines
Oxygen – up to 14 Liters
IV Therapy
External Defibrillator
HIV/AIDS, hysician Consultants:
Infectious Disease
Pulmonary
Pharmacy
Psychology
Psychiatry
Dental
Podiatry
Optical Services
Dietitian, Physical Therapy
Occupational Therapy
Speech Therapy",,"Daily Activities
Social Services
Beautician",96%,medicare and medicaid,"Daily Cost (Private Room) 
$215
Daily Cost (Semi-Private Room) 
$185",
,,,,,,,,,,
555,Lake Harris Health Center,"701 Lake Port Blvd, Leesburg, FL 34748(352) 728-3366",,"independent l;iving, assisted living, memory care, skilled nursing",,,87%,medicare and medicaid,"Daily Cost (Private Room) 
$279
Daily Cost (Semi-Private Room) 
$239",
,,,,,,,,,,
556,Lake Mary Health and Rehabilitation Center,"710 North Sun Drive, Lake Mary, FL 32746(407) 805-3131",,"24-hour skilled nursing care
Comprehensive rehabilitation services
Physical, Occupational and Speech therapies
“Your Journey Home” rehabilitation program
Alzheimer’s and dementia care
Care for medically-complex patients",,,93%,medicare and medicaid,"Daily Cost (Private Room) 
$201
Daily Cost (Semi-Private Room) 
$188",
,,,,,,,,,,
557,Laurel Pointe Health and Rehabilitation,"703 South 29Th Street, Fort Pierce, FL 34947(772) 466-3322",,"skilled nursing, rehab, long term care, memory care,respite care",,"Church Services
Fine Dining
Salon
24/7 Nursing Services
Social Services
Pain Management
WiFi
Smoking Area
Secured Unit
Medication Management
Activities
Television
Private and semi-private accommodations
Restorative Therapy
Therapy",90%,medicare and medicaid,"Daily Cost (Private Room) 
$188
Daily Cost (Semi-Private Room) 
$178",
,,,,,,,,,,
558,Lutheran Haven Nursing Home,"1525 Haven Drive, Oviedo, FL 32765(407) 365-3456",,"independent livving, assisted living, skilled nursing",,beauty and barber,88%,medicare and medicaid,"aily Cost (Private Room) 
$214
Daily Cost (Semi-Private Room) 
$208
",
,,,,,,,,,,
559,Magnolia Health and Rehabilitation Center,"1507 South Tuttle Avenue, Sarasota, FL 34239(941) 366-0336",,"rehab, skilled nursing",,,81%,medicare and medicaid,"Daily Cost (Private Room) 
$130
Daily Cost (Semi-Private Room) 
$125",
,,,,,,,,,,
560,Manorcare Health Services,"6931 W Sunrise Blvd, Plantation, FL 33313(954) 583-6200",,"rehab, skilled nursing, assisted living, independent living, health care",,,84%,medicare and medicaid,"Daily Cost (Private Room) 
$250
Daily Cost (Semi-Private Room) 
$150
",
,,,,,,,,,,
561,"Miami Jewish Health Systems, Inc.","5200 NE 2Nd Avenue, Miami, FL 33137(305) 751-8626",,"residential living, nursing care, alzhemeir care",,"games, art and craft, entertainment, fitness, entertainment, pool, yoga",88%,medicare and medicaid,"Daily Cost (Private Room) 
$205
Daily Cost (Semi-Private Room) 
$195",
,,,,,,,,,,
562,"Miracle Hill Nursing & Rehabilitation Center, Inc.","1329 Abraham Street, Tallahassee, FL 32304(850) 224-8486",,"rehab, restorative, Podiatry Services 
Physical Occupational and Speech Therapies 
X-ray and Laboratory Services 
Medical Equipment Services 
Dental and Optometry Services",,,97%,medicare and medicaid,"Daily Cost (Private Room) 
$185
Daily Cost (Semi-Private Room) 
$175",
,,,,,,,,,,
563,Oaks of Clearwater,"420 Bay Ave, Clearwater, FL 33756(727) 445-4700",,"independent living, assisted livimg, memory care, long term nursing, rehab, respite care",,"Get my hair done...
Have lunch with friends...
Karoke with Sandy...
Poker night.... 
Local restaurant for dinner..games",90%,medicare and medicaid,"Daily Cost (Private Room) 
$223
Daily Cost (Semi-Private Room) 
$182",
,,,,,,,,,,
564,Orlando Health and Rehabilitation Center,"830 West 29Th Street, Orlando, FL 32805(407) 843-3230",,"Post-Acute Services
Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Memories Care......Caring for Memories
Respite Care
Palliative Care",,,86%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
$205",
,,,,,,,,,,
565,Palm City Nursing & Rehabilitation Center,"2505 SW Martin Hwy, Palm City, FL 34990(772) 288-0060",,"skilled nursing, rehab",,,91%,medicare and medicaid,"Daily Cost (Private Room) 
$232
Daily Cost (Semi-Private Room) 
$216",
,,,,,,,,,,
566,Palm Garden of Largo,"10500 Starkey RD, Largo, FL 33777(727) 397-8166",,"skilled nursing, rehab",,,95%,medicare and medicaid,"Daily Cost (Private Room) 
$205
Daily Cost (Semi-Private Room) 
$190",
,,,,,,,,,,
567,Palm Garden of Orlando,"654 N Econlockhatchee Trail, Orlando, FL 32825(407) 273-6158",," 
Clinical Lab Service:  
Dental Services:  
Dietary Services:  
Housekeeping Services:  
Mental Health Services:  
Nursing Services:  
Occupational Therapy Services:  
Other Activity Services:  
Pharmacy Services:  
Physical Therapy Services:  
Physician Services:  
Physician Extender Services:  
Podiatry Services:  
Social Work Services:  
Speech/Language
Pathology Services:",,,95%,medicare and medicaid,"Daily Cost (Private Room) 
$255
Daily Cost (Semi-Private Room) 
$235",
,,,,,,,,,,
568,Palm Garden of Vero Beach,"1755 37Th Street, Vero Beach, FL 32960(772) 567-2443",,skiulled nursing,,,97%,medicare and medicaid,"Daily Cost (Private Room) 
$239
Daily Cost (Semi-Private Room) 
$201",
,,,,,,,,,,
569,Palm Terrace of Clewiston,"301 South Gloria Street, Clewiston, FL 33440(863) 983-5123",,"Clinical Lab Service:  

Dietary Services:  
Housekeeping Services:  
Mental Health Services:  
Nursing Services:  
Occupational Therapy Services:  
Other Activity Services:  
Pharmacy Services:  
Physical Therapy Services:  
Physician Services:
Physician Extender Services:  
Podiatry Services:  
Social Work Services:  
Speech/Language
Pathology Services:",,,68%,medicare and medicaid,"Daily Cost (Private Room) 
$193
Daily Cost (Semi-Private Room) 
$183",
,,,,,,,,,,
570,Park Meadows Health and Rehabilitation Center,"3250 SW 41St Place, Gainesville, FL 32608(352) 378-1558",,"Physical, occupational and speech therapyCardiac and stroke rehab monitoring programOutpatient rehabilitationRN/LPN services available 24 hours a day, 365 days a yearPain management programFall reduction programRestorative nursing programRegistered dietitian servicesDental and eye carekRespite careHospice care",,"Recreational activities 7-days a week, Multi-lingual staff: English, SpanishSpa amenities availableDaily transportation100% electric beds with specialty mattressesTelevisions and telephones in all rooms",90%,medicare and medicaid,"Daily Cost (Private Room) 
$190
Daily Cost (Semi-Private Room) 
$180",
,,,,,,,,,,
571,Parks Healthcare and Rehabilitation Center,"9311 S Orange Blossom Trail, Orlando, FL 32837(407) 858-0455",,"Physical, Occupational & Speech Therapy – 7 days a week
Orthopedic Post-Op Rehabilitation
Stroke Management & Recovery
Pulmonary Care: Tracheostomy, CPAP/BIPAP and Oxygen Therapies
24/7 Skilled Nursing Care
Complex Wound Care/ Wound VAC
IV Medication & Nutrition
Peritoneal Dialysis
Pain Management",,"“Always” Menu
Concierge Service
Well-appointed Semi-Private Rooms
Luxurious Lobbies & Sitting Areas
Landscaped Patio & Courtyard
Complimentary Cable / Wireless Internet / Flat-Screen TVs
Wii™ Interactive Entertainment
Laptops/iPads/Tablets on Loan
On-site Beauty Salon & Barber Shop
Manicures & Pedicures
Pastoral Care & Service",91%,medicare and medicaid,"Daily Cost (Private Room) 
$208
Daily Cost (Semi-Private Room) 
$188",
,,,,,,,,,,
572,Parkway Health & Rehabilitation Center,"800 SE Central Pkwy, Stuart, FL 34994(772) 287-9912",,"Subacute and Skilled Care
Traditional Care
Alzheimer's/Dementia Care (Memory Care)
Respite Care
Rehabilitation Services including physical, speech, occupational and nutritional therapies.",,,91%,medicare and medicaid,"Daily Cost (Private Room) 
$225
Daily Cost (Semi-Private Room) 
$210
",
,,,,,,,,,,
573,Pinellas Point Nursing and Rehabilitation Center,"5601 31St ST S, Saint Petersburg, FL 33712(727) 867-6955",,skilled nursing,,,83%,medicare and medicaid,"Daily Cost (Private Room) 
$243
Daily Cost (Semi-Private Room) 
$206",
,,,,,,,,,,
574,Plantation Key Nursing Center,"48 High Point Road, Tavernier, FL 33070(305) 853-0799",,"Nursing home
Rehabilitation center
Respiratory care
Wound care
Speech therapy
Occupational therapy
Physical therapy
IV therapy",,,39%,medicare and medicaid,,
,,,,,,,,,,
575,Port Charlotte Rehabilitation Center,"25325 Rampart Blvd, Port Charlotte, FL 33948(941) 629-7466",,"Wound Care Services
Restorative Therapy 
Nutritional Therapy 
Lymphedema Therapy
Pain Reduction/Management
Palliative Care Services
Inpatient Rehabilitation
Outpatient Rehabilitation
Stroke Recovery
Cardiac Recovery
Pulmonary Rehab
Infusion Therapy",,"Planned Activities & Social Programs 
Private & Semi-Private 
         Accommodations 
Laundry Services
Visitor Lounge
Cable Television
Telephones
Newspaper Delivery
Beauty/Barber Salon
Shuttle Van
Free Wifi
Concierge Service
Salon/Barber Services",95%,medicare and medicaid,"Daily Cost (Private Room) 
$212
Daily Cost (Semi-Private Room) 
$196",
,,,,,,,,,,
576,River Valley Rehabilitation Center,"17884 NE Crozier ST, Blountstown, FL 32424(850) 674-5464",,"Alzheimer's, Alzheimers Secured Unit, HIV Care, Hospice Care, Respite, Tracheotomy",,,82%,medicare and medicaid,"Daily Cost (Private Room) 
$185
Daily Cost (Semi-Private Room) 
$175
",
,,,,,,,,,,
577,San Jose Health and Rehabilitation Center,"9355 San Jose Blvd, Jacksonville, FL 32257(904) 739-0877",,"rehab, HIV Care, Hospice Care, Tracheotomy",,,95%,medicare and medicaid,"Daily Cost (Private Room) 
$175
Daily Cost (Semi-Private Room) 
$165",
,,,,,,,,,,
578,Signature Healthcare of Gainesville,"4000 SW 20Th Ave, Gainesville, FL 32607(352) 377-1981",,"clinical, rehab",,"the movies, shopping, restaurant dining and cookouts.  In-facility activities include interactive Nintendo® Wii™ sports, musical events, theme weeks, bingo, Resident Council meetings, and many special events celebrated with parties and get-togethers.",81%,medicare and medicaid,"Daily Cost (Private Room) 
$225
Daily Cost (Semi-Private Room) 
$180",
,,,,,,,,,,
579,South Campus Rehabilitation and Nursing Center,"715 E Dixie Ave, Leesburg, FL 34748(352) 728-3020",,"skilled nursing, rehab, wound care",,"personal counseling
Family and resident support groups
Snacks
Assistance with community healthcare resources, Our residents’ interests are a priority.
Residents are encouraged to participate in our daily programs.
Activities are designed to provide physical as well as mental stimulation and promote interaction.
Community outings and involvement
Entertainment",69%,medicare and medicaid,"Daily Cost (Private Room) 
$225
Daily Cost (Semi-Private Room) 
$215",
,,,,,,,,,,
580,South Dade Nursing and Rehabilitation Center,"17475 S Dixie Hwy, Miami, FL 33157(305) 255-1045",,"skilled nursing, rehab, wound care",,,96%,medicare and medicaid,"Daily Cost (Private Room) 
$270
Daily Cost (Semi-Private Room) 
$180",
,,,,,,,,,,
581,South Heritage Health & Rehabilitation Center,"718 Lakeview Ave S, Saint Petersburg, FL 33705(727) 894-5125",,"Post-Acute Services
Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care",,,78%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
$198",
,,,,,,,,,,
582,Southpoint Terrace,"4325 Southpoint Boulevard, Jacksonville, FL 32216(904) 245-7620",,"rehab, nursing care",,,97%,medicare and medicaid,"Daily Cost (Private Room) 
$202
Daily Cost (Semi-Private Room) 
$192",
,,,,,,,,,,
583,Spring Hill Health and Rehabilitation Center,"12170 Cortez Blvd, Brooksville, FL 34613(352) 597-5100",,"rehab, nursing care, dementia care, alzhemeir care, long term care, assisted and independent living",,,,medicare and medicaid,,
,,,,,,,,,,
584,Springwood Center,"4602 Northgate Court, Sarasota, FL 34234(941) 355-2913",,"ShortStay care
LongTerm care
Respite care
Attending Physicians
Registered Nurses
Colostomy care
Dementia care
Dental care
IV Therapy
Personal care
Pet therapy
Physiatry services
Podiatry care
Psychiatric services
Total Parenteral Nutrition (TPN)
Vision care
Wound care
X-ray
Hospice care
Pain management
Palliative care
Case management
Dietary and nutrition needs management
Discharge planning
Individual treatment plans
Rehabilitation therapy
Physical therapy
Occupational therapy
Speech therapy
Medication management
Orthopedic Rehabilitation - including joint replacement, injuries and amputation
Outpatient Rehabilitation Services
Coordinated transportation
Cultural, educational, religious and social activities
Recreation activities
VA Contracted
Driving Rehabilitation by Genesis Rehab Services",,"Activity room
Private and Semi-Private Rooms
Private bathroom
Beautiful Garden(s) / Courtyard(s)
Beauty Salon / Barber Services
Cable Television
Dining Room
Fully air conditioned
Individual climate control
In-room dining options
Alarm sytem to aid in the security of residents with cognitive deficits
Complimentary laundry facility on-site
Housekeeping
Laundry facility on-site
Phone service
Baby Grand Piano
Smoke free environment",,medicare and medicaid,,
,,,,,,,,,,
585,St. Andrews Bay Skilled Nursing and Rehabilitation,"2100 Jenks Ave, Panama City, FL 32405(850) 763-0446",,skilled nursing,,,85%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
$187",
,,,,,,,,,,
